3.99834 0 -3.99834
3.99834 -3.99834 0
0 -3.99834 -3.99834
1 0 0
0 1 0
0 0 1
0.7500000000000000 0.7500000000000000 0.7500000000000000	Nb_sv
0.0015980884714679 0.0015980884714679 0.4984019115285321	O
0.0015980884714679 0.4984019115285321 0.4984019115285321	O
0.4984019115285321 0.0015980884714679 0.4984019115285321	O
0.4984019115285321 0.4984019115285321 0.0015980884714679	O
0.4984019115285321 0.0015980884714679 0.0015980884714679	O
0.0015980884714679 0.4984019115285321 0.0015980884714679	O
0.0000000000000000 0.0000000000000000 0.0000000000000000	Sr_sv
0.5000000000000000 0.5000000000000000 0.5000000000000000	Sr_sv
0.2500000000000000 0.2500000000000000 0.2500000000000000	Ti_sv
