0 -3.82605 0
13.1636 0 0
0 0 19.21
1 0 0
0 1 0
0 0 1
0.0000000000000000 0.8334897832830763 0.5940000000000012	Mo
0.0000000000000000 0.5026472039594980 0.4952156224735038	Te
0.0000000000000000 0.5026472039594980 0.6927843775264988	Te
0.5000000000000000 0.2451607718065945 0.4956638243517694	Te
0.5000000000000000 0.2451607718065945 0.6923361756482259	Te
0.0000000000000000 0.9917215338164759 0.4962107539757982	Te
0.0000000000000000 0.9917215338164759 0.6917892460242040	Te
0.5000000000000000 0.7636136661913144 0.5011859093411822	Te
0.5000000000000000 0.7636136661913144 0.6868140906588130	Te
0.5000000000000000 0.0723648788307154 0.5940000000000012	Zr
0.0000000000000000 0.3303298992075923 0.5940000000000012	Zr
0.5000000000000000 0.5883590871308414 0.5940000000000012	Zr
