iter1_0_1_2_3_4_10_11_12_13_14    -.61121810E+03
iter1_0_1_2_3_4_5_6_7_8_9_10_11_12_13_14    -.61474728E+03
iter1_0_1_2_3_5_6_7_8_9_10_11_13_14    -.61345263E+03
iter1_0_1_2_3_5_8_9_10_11_12_13_14    -.61273118E+03
iter1_0_1_3_4_6_7_8_10_11_13_14    -.61201655E+03
iter1_0_1_3_8_10_11_13    -.60892240E+03
iter1_0_2_3_5_7_8_10_12_13    -.61050022E+03
iter1_0_2_5_7_8_10_12_13    -.60973546E+03
iter1_1_2_3_4_5_6_7_8_9_10_11_12_13_14    -.61412025E+03
iter1_1_3_5_6_13_14    -.60804778E+03
iter1_1_8_10    -.60518397E+03
iter1_2_5_9_12_14    -.60714701E+03
iter1_3_4_6_11    -.60621244E+03
iter1_8    -.60293724E+03
iter1_8_11    -.60412266E+03
iter2_1_2_3_4_5_6_7_10_13_14    -.61125970E+03
iter2_1_2_4_6_7_9_10_13_14    -.61050290E+03
iter2_1_3_4_5_7_11_13_14    -.60966557E+03
iter2_1_3_5_7_10_13    -.60800245E+03
iter2_2_9_11_14    -.60619206E+03
iter2_3_5_7_11_14    -.60708916E+03
iter3_0_1_2_3_4_5_10_11_12_13_14    -.61196745E+03
iter3_0_1_2_3_4_6_7_8_10_11_12_13_14    -.61342134E+03
iter3_0_1_2_3_5_6_7_8    -.60964067E+03
iter3_0_1_8_10_11_13    -.60802623E+03
iter3_0_2_3_4_10_11_12_13_14    -.61045769E+03
iter3_1_2_5_6_7_8_9_10_11_12_13_14    -.61269398E+03
iter4_0_1_2_7_8_9_10_11_14    -.61051382E+03
iter4_0_1_4_6_7_13_14    -.60891353E+03
iter4_0_1_4_8_9_11_12_13    -.60974853E+03
iter4_0_4_7    -.60519782E+03
iter4_2_3_5_6_7_8_9_10_11_14    -.61125712E+03
iter5_0_1_2_4_5_6_7_9_12_14    -.61124604E+03
