0 0 -4.00411
0 4.00411 0
8.00545 0 0
1 0 0
0 1 0
0 0 1
0.5000000000000000 0.5000000000000000 0.2500000000000000	Nb_sv
0.5000000000000000 0.5000000000000000 0.5009686217617570	O
0.5000000000000000 0.0000000000000000 0.2500000000000000	O
0.0000000000000000 0.5000000000000000 0.2500000000000000	O
0.5000000000000000 0.5000000000000000 0.9990313782382430	O
0.5000000000000000 0.0000000000000000 0.7500000000000000	O
0.0000000000000000 0.5000000000000000 0.7500000000000000	O
0.0000000000000000 0.0000000000000000 0.5160552799301001	Sr_sv
0.0000000000000000 0.0000000000000000 0.9839447200698999	Sr_sv
0.5000000000000000 0.5000000000000000 0.7500000000000000	Ti_sv
