0 -3.99952 -3.99952
0 3.99952 -3.99952
4.0087 0 0
1 0 0
0 1 0
0 0 1
0.0000000000000000 0.5000000000000000 0.5000000000000000	Nb_sv
0.0000000000000000 0.5000000000000000 0.0000000000000000	O
0.7493766909058976 0.7506233090941024 0.5000000000000000	O
0.7493766909058976 0.2493766909058976 0.5000000000000000	O
0.5000000000000000 0.0000000000000000 0.0000000000000000	O
0.2506233090941024 0.2493766909058976 0.5000000000000000	O
0.2506233090941024 0.7506233090941024 0.5000000000000000	O
0.5000000000000000 0.5000000000000000 0.0000000000000000	Sr_sv
0.0000000000000000 0.0000000000000000 0.0000000000000000	Sr_sv
0.5000000000000000 0.0000000000000000 0.5000000000000000	Ti_sv
